,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
27.12.2006,9.6092,3.2,0,0,22.1739,0,0,2.5833,0.155,0,0,2.2,1.0351,43.2977,1.0829,62.4166,1.4188,0,20,0,37.4164,9.3387,0,23.7037,4.8364,1.117,20,2.2329,3.4126,35.5417,0,48.9716,4.9612,39.8094,1085.1455,0,6.4889,239.7622,40.736,327.5598,6.7087,17.9897,10.7378,1952.6981,12.7083
03.01.2007,9.7082,3.25,0,0,21.3043,0,0,2.6667,0.17,0,0,2.34,1.0721,44.2817,0.9845,66.875,1.4869,0,20,0,37.4164,9.1421,0,24.3502,4.6061,1.1357,22.25,2.4092,3.5239,35.5417,0,50.9149,5.0604,41.7279,1129.2571,0,6.9591,249.3526,39.8505,333.3065,7.0281,18.7093,10.7378,2143.8132,13.125
10.01.2007,8.7176,3.9,0,0,23.4783,0,0,2.75,0.165,0,0,2.6,1.109,45.2657,0.9845,66.875,1.5944,0,19.25,0,37.7796,8.8472,0,23.0572,4.7788,1.2287,21.75,2.4092,3.3384,35.2744,0,51.3036,5.2588,40.289,1085.1455,0,7.1472,241.6803,39.4077,313.1931,7.1879,18.2296,10.7378,2035.7916,13.125
17.01.2007,9.1139,4.1,0,0,25.6522,0,0,2.8333,0.165,0,0,2.95,1.1645,45.7578,1.0829,72.8194,1.469,0,20.25,0,41.049,9.0438,0,23.9192,4.7212,1.3032,23.5,2.2917,3.7836,36.3434,0,52.8582,5.2588,41.2483,1076.3231,0,8.7459,264.6974,40.736,347.6731,7.3476,18.4695,11.487,1998.3995,13.5417
24.01.2007,8.9157,4.2,0,0,33.0435,0,0,2.8333,0.155,0,0,2.6,1.109,48.2179,1.1814,70.8379,0,0,20.75,0,43.5919,9.0438,0,23.2727,5.1818,1.3404,23.75,2.4092,3.6352,39.5501,0,55.5789,4.9612,42.2075,1133.6682,0,9.0281,283.8784,41.6216,356.2931,7.8268,18.2296,12.7355,2276.7628,13.9583
31.01.2007,9.0148,4.45,0,0,34.3478,0,0,3,0.155,0,0,3.1,1.109,47.2338,1.1814,74.8009,1.6302,0,22,0,42.8654,8.9455,0,23.9192,5.1818,1.3404,24,2.5953,3.5981,41.1535,0,55.9675,4.6635,40.7686,1270.4142,0,7.7115,283.8784,44.7211,362.0398,7.5073,18.2296,12.2361,2185.36,14.5833
07.02.2007,9.2129,4.65,0,0,37.3913,0,0,3.0833,0.165,0,0,3.25,1.1645,47.2338,1.2798,73.8101,1.6123,0,23.25,0,43.9552,9.7319,0,24.7811,5.2394,1.3777,24.75,2.5953,4.0061,41.4207,0,55.1902,4.8619,41.7279,1221.8914,0,7.4294,299.2232,47.3778,373.5331,7.9865,17.7499,11.7367,2102.2664,13.9583
14.02.2007,9.1139,4.55,0,0,36.5217,0,0,2.9167,0.17,0,0,4.1,1.3863,48.2179,1.2798,81.2407,1.5227,0,25,0,47.2246,9.5353,0,24.5657,4.65,1.3404,25.5,2.8402,4.0803,42.7569,0,54.4129,4.7627,42.6872,1213.0691,0,7.7115,299.2232,54.4623,367.7864,7.6671,17.2702,11.9864,2131.3492,13.9583
21.02.2007,8.9157,5,0,0,37.8261,0,0,3.9167,0.195,0,0,4.25,1.4418,53.6301,1.3783,79.2592,1.7019,0,26,0,48.3144,9.6336,0,24.7811,0,1.4149,28.5,3.1829,4.1545,47.567,0,54.4129,4.9612,50.8409,1208.658,0,8.3698,297.3051,56.2335,356.2931,8.1462,19.4289,13.9841,2164.5866,13.9583
28.02.2007,8.6185,4.4,0,0,33.913,0,0,3.8333,0.2,0,0,3.5,1.2754,49.2019,1.3783,74.8009,1.5048,0,22.75,0,44.6817,9.1421,0,21.9798,0,1.2101,29,2.9871,4.3029,41.688,0,48.1942,4.5643,47.9631,1142.4906,0,7.7115,270.4517,49.1489,321.8131,7.0281,16.5506,12.2361,1927.77,12.7083
07.03.2007,8.7176,4.4,0,0,33.4783,0,0,3.6667,0.19,0,0,3.15,1.2015,46.2498,1.1814,68.3611,1.3794,0,22.75,0,42.8654,9.0438,0,21.5488,5.3,1.1543,28,2.7422,4.2287,40.619,0,50.5262,4.3658,45.0853,1208.658,0,7.5234,268.5336,47.8206,318.9398,7.3476,17.2702,12.4858,1969.3168,13.3333
14.03.2007,9.5101,4.45,0,0,34.5,0,0,3.75,0.19,0,0,3.25,1.183,46.7418,1.1814,69.8472,1.4511,0,23.5,0,42.1388,8.7489,0,22.8417,6.3,1.266,29.5,2.8891,4.3029,40.0846,0,50.1376,4.465,49.402,1177.7798,0,7.4294,276.206,50.0345,324.6865,7.1879,16.7904,12.4858,1940.234,13.125
21.03.2007,9.9064,4.75,0,0,0,0,0,3.8333,0.31,0,0,3.4,1.3493,46.7418,1.1814,69.3518,1.4511,0,24.75,0,42.5021,8.8472,0,23.4882,6.8,1.3032,28.5,2.9381,4.4513,39.2829,0,49.3602,4.465,51.3205,1146.9017,0,7.7115,270.4517,50.4773,313.1931,7.0281,16.7904,12.7355,1985.9355,12.9167
28.03.2007,11.8876,4.6,0,0,27.5,0,0,3.8333,0.37,0,0,3.25,1.2939,45.7578,1.2798,69.3518,1.4869,0,25,0,43.9552,9.2404,0,24.1347,6.7,1.3591,27,3.3298,4.3771,41.688,0,50.5262,4.3658,52.2798,1080.7343,0,7.7115,268.5336,51.8056,313.1931,7.0281,16.3107,12.7355,2077.3384,13.5417
04.04.2007,14.6119,4.8,0,0,30.5,0,0,3.8333,0.48,0,0,3.5,1.4048,45.2657,1.2798,74.3055,1.6481,0,26,0,46.1348,9.3387,0,26.936,6.9,1.3218,27,3.5747,4.4513,41.688,0,52.4695,4.5643,57.0761,1124.8459,0,8.0877,278.1241,53.5768,336.1798,7.6671,16.3107,12.4858,2127.1945,14.5833
