<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
Индекс ММВБ,W,20121112,000000,1401.19,1410.83,1360.07,1383.66,0,0
Индекс ММВБ,W,20121119,000000,1383.65,1414.05,1383.09,1413.15,0,0
Индекс ММВБ,W,20121126,000000,1413.15,1417.53,1378.7,1405.97,0,0
Индекс ММВБ,W,20121203,000000,1405.97,1449.44,1403.7,1441.47,0,0
Индекс ММВБ,W,20121210,000000,1441.47,1472.01,1438.51,1466.15,0,0
Индекс ММВБ,W,20121217,000000,1466.16,1490.51,1458.44,1477.44,0,0
Индекс ММВБ,W,20121224,000000,1477.44,1482.35,1467.21,1474.72,0,0
Индекс ММВБ,W,20130107,000000,1474.73,1518.41,1474.73,1510.84,0,0
Индекс ММВБ,W,20130114,000000,1510.84,1542.11,1507.33,1540.55,0,0
Индекс ММВБ,W,20130121,000000,1540.57,1544.85,1517.01,1544.02,0,0
Индекс ММВБ,W,20130128,000000,1544.02,1566.42,1535.52,1547.22,0,0
Индекс ММВБ,W,20130204,000000,1547.22,1553.38,1510.83,1519.91,0,0
Индекс ММВБ,W,20130211,000000,1519.93,1550.03,1500.79,1508.17,0,0
Индекс ММВБ,W,20130218,000000,1508.19,1526.34,1486.49,1496.61,0,0
Индекс ММВБ,W,20130225,000000,1496.61,1506.47,1466.84,1473.54,0,0
Индекс ММВБ,W,20130304,000000,1473.54,1498.29,1461.45,1491.35,0,0
Индекс ММВБ,W,20130311,000000,1491.14,1516.49,1490.35,1495.11,0,0
Индекс ММВБ,W,20130318,000000,1495.71,1497.9,1440.27,1441.36,0,0
Индекс ММВБ,W,20130325,000000,1441.26,1458.58,1407.22,1438.57,0,0
Индекс ММВБ,W,20130401,000000,1438.84,1442.7,1410.47,1416.69,0,0
Индекс ММВБ,W,20130408,000000,1417.28,1432.55,1380.57,1385.84,0,0
Индекс ММВБ,W,20130415,000000,1385.62,1387.94,1328.84,1338.43,0,0
Индекс ММВБ,W,20130422,000000,1338.67,1386.31,1320.73,1372.04,0,0
Индекс ММВБ,W,20130429,000000,1373.57,1408.05,1360.54,1408.03,0,0
Индекс ММВБ,W,20130506,000000,1408.03,1446.34,1406.2,1426.25,0,0
Индекс ММВБ,W,20130513,000000,1426.25,1427.03,1372.57,1401.79,0,0
Индекс ММВБ,W,20130520,000000,1401.43,1453.69,1376.22,1380.88,0,0
Индекс ММВБ,W,20130527,000000,1380.92,1404.42,1340.39,1350.17,0,0
Индекс ММВБ,W,20130603,000000,1350.17,1358.05,1314.38,1343.9,0,0
Индекс ММВБ,W,20130610,000000,1343.9,1357.18,1271.39,1299.61,0,0
Индекс ММВБ,W,20130617,000000,1300.02,1342.28,1290.47,1298.89,0,0
Индекс ММВБ,W,20130624,000000,1298.41,1330.81,1284.9,1330.46,0,0
Индекс ММВБ,W,20130701,000000,1330.46,1360.8,1319.81,1342.72,0,0
Индекс ММВБ,W,20130708,000000,1343.25,1398.48,1330.73,1398.22,0,0
Индекс ММВБ,W,20130715,000000,1396.38,1439.6,1393.4,1421.67,0,0
Индекс ММВБ,W,20130722,000000,1421.67,1432.3,1396.11,1403.14,0,0
Индекс ММВБ,W,20130729,000000,1403.31,1410.73,1375.38,1392.15,0,0
Индекс ММВБ,W,20130805,000000,1391.79,1400.24,1353.71,1382.72,0,0
Индекс ММВБ,W,20130812,000000,1382.74,1425.1,1372.03,1380.31,0,0
Индекс ММВБ,W,20130819,000000,1380.56,1401.67,1365.22,1393.21,0,0
Индекс ММВБ,W,20130826,000000,1392.42,1403.88,1355.7,1364.65,0,0
Индекс ММВБ,W,20130902,000000,1364.75,1448.75,1364.27,1423.4,0,0
Индекс ММВБ,W,20130909,000000,1423.4,1464.2,1421.45,1440.74,0,0
Индекс ММВБ,W,20130916,000000,1441.06,1501.32,1438.79,1476.73,0,0
Индекс ММВБ,W,20130923,000000,1476.69,1490.02,1459.13,1471.89,0,0
Индекс ММВБ,W,20130930,000000,1472.23,1474.9,1449.76,1474.21,0,0
Индекс ММВБ,W,20131007,000000,1474.45,1524.35,1462.85,1513.03,0,0
Индекс ММВБ,W,20131014,000000,1511.81,1537.28,1501.48,1533.35,0,0
Индекс ММВБ,W,20131021,000000,1535.22,1538.75,1493.18,1504.48,0,0
Индекс ММВБ,W,20131028,000000,1504.7,1527.4,1498.39,1515.15,0,0
Индекс ММВБ,W,20131104,000000,1515.15,1521.02,1486.51,1489.55,0,0
Индекс ММВБ,W,20131111,000000,1488.89,1503.45,1464.59,1493.79,0,0
Индекс ММВБ,W,20131118,000000,1494.53,1517.64,1489.98,1504.1,0,0
Индекс ММВБ,W,20131125,000000,1504.21,1513.33,1467.32,1479.35,0,0
Индекс ММВБ,W,20131202,000000,1479.32,1488.97,1425.31,1448.67,0,0
Индекс ММВБ,W,20131209,000000,1448.67,1471.29,1444.62,1452.76,0,0
Индекс ММВБ,W,20131216,000000,1452.63,1509.2,1445,1497.23,0,0
Индекс ММВБ,W,20131223,000000,1497.31,1510.9,1494.33,1494.83,0,0
Индекс ММВБ,W,20131230,000000,1496.27,1504.85,1492.08,1504.08,0,0
Индекс ММВБ,W,20140106,000000,1504.14,1504.33,1454.75,1469.19,0,0
Индекс ММВБ,W,20140113,000000,1469.19,1495.05,1453.85,1486.88,0,0
Индекс ММВБ,W,20140120,000000,1485.75,1511.7,1483.25,1494.58,0,0
Индекс ММВБ,W,20140127,000000,1494.18,1495.27,1444.39,1454.45,0,0
Индекс ММВБ,W,20140203,000000,1453.55,1480.6,1426.29,1478.48,0,0
Индекс ММВБ,W,20140210,000000,1478.22,1498.62,1473.3,1496.18,0,0
Индекс ММВБ,W,20140217,000000,1494.38,1518.13,1467.52,1487.64,0,0
Индекс ММВБ,W,20140224,000000,1487.51,1495.13,1429.25,1444.71,0,0
Индекс ММВБ,W,20140303,000000,1438.02,1438.02,1261.76,1339.36,0,0
Индекс ММВБ,W,20140310,000000,1338.5,1338.5,1182.86,1237.43,0,0
Индекс ММВБ,W,20140317,000000,1237.52,1352.68,1237.52,1307.34,0,0
Индекс ММВБ,W,20140324,000000,1307.34,1359.88,1288.97,1344.12,0,0
Индекс ММВБ,W,20140331,000000,1344.15,1388,1343.27,1382.41,0,0
Индекс ММВБ,W,20140407,000000,1380.15,1380.15,1334.63,1362.4,0,0
Индекс ММВБ,W,20140414,000000,1362.04,1362.46,1300.75,1356.54,0,0
Индекс ММВБ,W,20140421,000000,1356.48,1359.21,1277.92,1280.12,0,0
Индекс ММВБ,W,20140428,000000,1278.12,1318.36,1260.39,1304.84,0,0
Индекс ММВБ,W,20140505,000000,1302.99,1383.84,1289.8,1371.42,0,0
Индекс ММВБ,W,20140512,000000,1372.09,1399.52,1362.93,1392.3,0,0
Индекс ММВБ,W,20140519,000000,1392.51,1446.72,1392.42,1438.98,0,0
Индекс ММВБ,W,20140526,000000,1439.15,1456.7,1408.77,1432.03,0,0
