,AT PM Equity,EEI PM Equity,PIP PM Equity,SSI PM Equity,RCB PM Equity,EW PM Equity,AUB PM Equity,WEB PM Equity,PLC PM Equity,MCP PM Equity,NIKL PM Equity,LPZ PM Equity,BEL PM Equity,PNB PM Equity,COSCO PM Equity,FPH PM Equity,FLI PM Equity,CEB PM Equity,ABS PM Equity,VLL PM Equity,MBT PM Equity,MWC PM Equity,DNL PM Equity,FGEN PM Equity,AGI PM Equity,DMC PM Equity,ICT PM Equity,MEG PM Equity,EDC PM Equity,SECB PM Equity,AP PM Equity,BPI PM Equity,MPI PM Equity,JFC PM Equity,GLO PM Equity,GTCAP PM Equity,AEV PM Equity,SM PM Equity,BDO PM Equity,AC PM Equity,SMPH PM Equity,URC PM Equity,JGS PM Equity,TEL PM Equity,ALI PM Equity
24.04.2006,7.3307,1.46,0,0,12.8261,0,0,2.25,0.14,0,0,0.96,1.1275,33.9493,0.8368,44.0879,0.9889,0,12.75,0,28.698,6.2913,0,19.3939,0,0.7075,12.25,1.3279,0,24.6522,0,39.5151,0,34.5334,780.7754,0,5.1723,176.4649,31.4376,204.6311,4.9836,20.1485,6.2929,1653.5613,9.7174
08.05.2006,7.9251,1.88,0,0,14.7826,0,0,2.3333,0.155,0,0,1.18,1.2569,35.9174,0.8368,46.5648,1.3472,0,14.5,0,34.147,8.0608,0,19.3939,6.7652,0.9867,14.25,1.7153,0,29.8974,0,45.5699,0,35.4927,908.6991,0,6.3949,193.7278,33.6515,268.5783,5.7503,22.5472,7.5914,1873.7592,12.1984
15.05.2006,9.1139,1.76,0,0,15.6522,0,0,2.25,0.155,0,0,1.22,1.1645,35.9174,0.886,49.0416,1.1465,0,16.5,0,29.4245,7.1761,0,21.3333,6.7652,0.8564,13.75,1.5677,0,29.1106,0,42.3832,0,33.5742,855.7651,0,6.0187,187.2063,31.8804,240.1573,5.2392,21.8276,7.891,1720.0362,11.3714
22.05.2006,7.3307,1.44,0,0,15,0,0,2.75,0.14,0,0,1.12,1.0536,33.9493,0.8368,46.5648,1.0319,0,15.5,0,28.3347,7.1761,0,20.6869,6.7652,0.7447,13.5,1.5308,0,27.5358,0,39.8338,0,34.0538,807.2424,0,5.3604,175.6977,32.766,241.5784,5.4308,19.6688,7.1918,1678.4894,11.1647
29.05.2006,6.9345,1.28,0,0,13.2609,0,0,2.4167,0.135,0,0,1.1,1.0721,33.4573,0.7876,44.5833,1.0032,0,15.25,0,26.1551,6.7828,0,20.6869,6.7652,0.7261,13.25,1.4202,0,26.212,0,39.7701,0,33.0945,802.8312,0,5.0783,171.8615,32.3232,231.631,5.0475,18.2296,6.6924,1670.18,10.3376
05.06.2006,6.9345,1.3,0,0,17.6087,0,0,2.75,0.135,0,0,1.06,1.0721,32.4733,0.6891,46.5648,1.0462,0,15.5,0,25.4286,7.2744,0,20.2559,0,0.7354,13.75,1.4386,0,27.0063,0,41.2997,0,33.0945,802.8312,0,5.2664,174.1632,31.8804,228.7889,5.2392,18.9492,6.6924,1661.8707,10.7511
19.06.2006,6.241,1.2,0,0,14.7826,0,0,2.4167,0.12,0,0,0.99,0.9797,32.9653,0.6399,43.0972,0.9316,0,14,0,23.6123,6.9794,0,18.101,0,0.6888,13.75,1.3095,0,23.8291,0,35.5636,0,30.6964,820.4758,0,4.9843,162.6546,30.1093,197.5258,4.728,18.4695,5.9932,1495.6836,9.7174
26.06.2006,7.826,1.32,0,0,15.2174,0,0,2.5,0.125,0,0,1,0.9612,32.4733,0.7384,42.6018,0.9029,0,14,0,22.5225,6.9794,0,18.101,6.7652,0.6795,13.25,1.2911,0,21.7109,0,34.7988,0,29.2575,798.42,0,4.9843,161.8874,27.8953,194.6837,4.728,16.5506,5.4938,1474.9102,9.3039
03.07.2006,8.1232,1.48,0,0,15.6522,0,0,2.8333,0.125,0,0,1.02,0.9612,32.4733,0.7384,44.5833,0.9316,0,15.75,0,25.0653,7.2744,0,18.532,0,0.7168,13.5,1.3833,0,24.0938,0,37.4757,0,30.2168,820.4758,0,4.8902,163.4219,27.4526,212.6265,4.9197,17.51,5.9932,1558.0038,9.9241
10.07.2006,7.727,1.5,0,0,16.7391,0,0,2.75,0.12,0,0,1.08,0.9797,32.4733,0.7876,45.0787,0.9172,0,16.5,0,25.7919,7.7659,0,18.7475,6.7652,0.6982,14.5,1.3279,0,24.3586,0,37.8581,0,31.6556,829.2982,0,5.0783,163.4219,28.3381,231.3032,4.9836,17.7499,5.9932,1616.1692,9.7174
