"";"Koef";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity"
"2011-01-31";20,4210221908726;-0,050160767922448;0,114827352287957;-0,0107351081216654;-0,117445698895451;-0,060766230001044;0,0501374091845443;-0,205000783071039;0,0651706817673187;0,35024596354311;-0,144311009184208;0,146457878020522;-0,0500675040789144;-0,0851671754684969;-0,0542508644647544;-0,0433118557659579;-0,0972747512381346;0,204998207861939;-0,0815082517878856;0,0412262443150538;0,0269362630195553
"2011-02-28";17,4402294912501;0,0995115800968374;0,219892156694182;-0,142397416790794;-0,190887092478667;0,0859026102304228;0,0123179948142434;-0,207118824426494;-0,0107327332641467;0,202853684117508;-0,140853448973337;0,0801970647699274;0,0319871817486637;-0,107901308243346;-0,0791265033939026;-0,0072045971552919;-0,113778075274019;0,0183902713630412;0,0328484578105902;0,14934902478168;0,0667499735729038
"2011-03-31";21,5669625276382;0,12432432208117;0,0841972706732869;-0,13904785329332;-0,135812119013541;-0,016841582249141;0,0701668987205052;-0,190541355692469;-0,195821713833522;0,0280479908864905;-0,0536843842156057;0,0320569208625882;0,222364683586364;-0,0705968603938284;-0,071102327432189;-0,0966703095013078;-0,0248408145031844;-0,00504067987189233;0,136940846618426;0,154526977279694;0,147374089291475
"2011-04-29";22,7214434611149;0,0980209281820505;0,217837093863145;-0,200768741074904;-0,0861493617965808;-0,0349361788339035;-0,159362649601826;-0,031064027170472;-0,144252711807955;0,0565336457316884;0,0705532158491566;-0,0337335421565897;0,15813136388049;-0,149333809800898;-0,0323148617819089;-0,109038713510357;-0,0178361753558091;0,0694164791271422;0,0846888759129427;-0,00120922710879764;0,244818397453384
"2011-05-31";25,9373311534258;-0,135852689651974;0,100332148643216;-0,177118425036512;0,119272453608751;-0,16450485400501;-0,144160749266583;0,0177277479986617;-0,155029035934808;0,181316905737606;0,0639346629292152;0,0283476575032303;0,0327548510584874;-0,0612820125391143;0,17470626840039;-0,132163985823229;0,0683925425805428;0,12808969577556;-0,0138404055316252;-0,0160478422111458;0,0851250657643408
"2011-06-30";46,9610103325122;-0,0680965732695545;0,012236693561858;-0,356871780507765;0,0771297693560322;-0,144657844472773;0,0123168003017099;0,0538865527074994;-0,104312171600436;0,362875672395359;-0,0548553471485605;0,0237385195365143;0,160804141675827;-0,0931481536757759;0,0789782262772717;-0,0365106195625559;0,0619111791486362;0,156122445039292;-0,0865941347378173;-0,00671410661990249;-0,0482392684048594
"2011-07-29";36,943980529507;0,0121635427516974;0,205223429401849;0,00841501011997422;0,0278104195803878;-0,14736720905307;0,0745958081326283;-0,0203879892156126;-0,0579481662027624;0,329709121736995;-0,116545755973415;0,105177023264325;0,0671532584056982;-0,125250480542507;0,148822375272496;-0,0667129614635201;0,0209300113339491;-0,0677105711171563;-0,0557455643400745;-0,0745180950906255;-0,267813207001256
"2011-08-31";30,5629079624535;0,141633409054996;0,143197989903536;-0,0024280925477905;-0,227566383774238;0,061154446640681;-0,0757213062640281;-0,0175271417517452;-0,125739618647398;0,36640359050947;-0,00388995790653819;-0,0717028446879925;0,0861929448958701;-0,0981070063846535;-0,184429364261525;-0,0109517035133217;-0,0938996479499798;0,148487498883219;0,0377908784059544;0,0151392417062732;-0,0880369323107889
"2011-09-30";18,9160836478292;0,0389966442734031;0,22550036998825;0,189259032251692;-0,0581667929401823;0,132436218036655;-0,166157959663921;-0,0305886932359336;-0,196729368729895;0,0659546165793101;-0,0436615296366905;-0,147006343002504;-0,066984253670511;-0,0389725170136154;-0,0804848781071934;0,117741380381617;-0,107339620776673;0,132032015559423;0,0980797229296499;-0,013846179907067;-0,0500618633158144
"2011-10-31";33,3459587135877;0,0905443361995988;0,215051506964256;0,0186818891161523;-0,0973712312898458;-0,0329123344968028;-0,197372913622819;-0,0621207273618913;-0,122725869070554;0,215047801614071;-0,0967588376590268;-0,0589680199905311;-0,074241827830766;0,0288637219633973;-0,0622632942537388;0,12712302441557;-0,0964227884894031;-0,0988421559346216;0,14546213745722;0,101050768398779;0,0581748138709551
"2011-11-30";22,1836561047656;0,142890898077346;0,167774531688576;-0,0125012787048666;-0,0916303695600882;-0,239008872555681;0,235544408671029;-0,00827060287411347;-0,149954790732789;-0,11548667693056;-0,00396581269610897;-0,0260391969001047;0,0873145702606879;-0,0763285701717139;-0,0370459250906727;0,247923628907408;0,0684439623491273;-0,239767903783302;0,0236727551057183;0,0132735752178232;0,0131616697222846
"2011-12-30";17,0818522951175;0,25614500873027;0,0561826370151694;-0,199106840184137;-0,0410830115479502;-0,222171118903772;0,137837174773629;-0,0763887735251109;-0,0528012511986176;0,0320129777388371;0,0185218158829185;0,0515287481942057;0,148560338071989;-0,113688040615422;0,0076374596832619;-0,0341044903050554;0,0962190820332537;-0,260656473719935;0,0239227516851482;0,0981544867282264;0,073277519463091
"2012-01-31";23,6368564236369;0,195800851379861;-0,0132108713660538;-0,222208472354653;-0,132088385166937;-0,222010968765624;0,144704678162071;0,0104847789960778;-0,112293005365594;-0,228070493191413;0,123158832410206;-0,00464459747658583;0,201220461827354;-0,0419563464244945;0,0124113890385311;0,103527510592555;0,12226768454385;-0,0235168598886451;0,0116341291527305;0,0411863477843246;0,0336033361124379
"2012-02-29";31,2241663668958;0,11990849661073;-0,143497152537974;-0,18733146707676;-0,066591753414078;-0,0962385171666889;-0,074312283722364;-0,0875308456945156;-0,137803029646764;-0,130831987087137;0,0231431257680057;0,0143320862849892;0,183506835504837;0,0405910691862802;0,279330635436339;-0,0195547877509513;0,153361612907739;0,0248856886763554;0,0666980959302808;-0,0563081759027664;0,0942423536944437
"2012-03-30";24,6134957841758;-0,0364486286832775;-0,121941936370045;-0,0122112194456306;-0,172572812430635;-0,148962059719699;0,0354159983184441;0,0359012151778284;-0,128124784538188;-0,16039498156877;0,20323503070345;-0,00993577440755955;0,188239254920422;0,0631083438872455;0,255939974892878;0,0765097057087088;0,132504588572588;0,00914588781843532;-0,0472664990171613;-0,127237711095613;-0,0349035927234207
"2012-04-28";32,6370951587761;-0,0374305690530802;-0,00197207682122424;0,0646230885197366;0,0123781522304624;-0,00895129690279388;-0,194705733454762;-0,103722046973617;-0,183769444463983;0,0935399740233867;0,20375409489019;-0,0929734009613905;0,0958653042488036;-0,117360188358222;0,253124924344959;0,0803037959738412;0,119838069994091;-0,124002189681788;0,0765725957745298;-0,0562337662965471;-0,0788792870325919
