"";"SIBN RX Equity";"NVTK RX Equity";"PHST RX Equity";"AFLT RX Equity";"PIKK RX Equity";"FEES RX Equity";"HYDR RX Equity";"NLMK RX Equity";"URKA RX Equity";"MTSS RX Equity";"CHMF RX Equity";"TATN RX Equity";"VTBR RX Equity";"MGNT RX Equity";"SNGS RX Equity";"SBER RX Equity";"GMKN RX Equity";"LKOH RX Equity";"ROSN RX Equity";"GAZP RX Equity";"Count"
"2010-06-30";-0,0119098935053504;0,0234238653101161;0,0195472691531997;0,00416215185715814;-0,0119526750711477;-0,0100290709721922;0,0142598846191963;-0,00502049274531873;-0,00902314144531577;-0,000330621445364139;0,00674196180829522;-0,00307047095049548;0,00986616729892639;0,0119190603409392;-0,00435769063527669;0,00527739423094138;0,00188537616742163;-0,00905041545809722;-0,0162334600464207;-0,0161051985112151;20
"2010-07-30";-0,0216936324333752;0,0182130179717844;0,0197980182016844;0,0129728866663532;-0,0156738825177366;-0,00903223640286601;0,0137008128607955;-0,000983335014932549;-0,014691273452411;-0,00338659669552965;0,020571323143372;-0,00450594573386594;0,00742223172748324;0,0222240973017655;-0,00293263626837672;0,00232389511231429;0,00168038634879496;-0,0122806344036433;-0,0171763200419992;-0,0165501763696114;20
"2010-08-31";-0,0204313259595001;0,00983284177947265;0,00567140298652945;0,0117527164279083;-0,0121954995225959;-0,0104689166579877;0,0120408415960935;-0,0065621595435862;-0,00419128730058146;-0,00124134480718033;0,0254986362607847;-0,00736365543129424;0,00585229025277766;0,0250667836325332;-0,00229638933835747;-0,00143021032470495;0,00654083571532552;-0,0096735380221032;-0,0161966443606876;-0,0102053773828457;20
"2010-09-30";-0,0219459194451155;0,0108787774023685;0,00325272184846375;0,00469266419324211;-0,0107888609824416;-0,000178050685110932;0,0107982893299008;0,00145929954726108;-0,00501640260657867;-0,00163729288944953;0,0306708482139124;-0,00570202663633835;0,00511014453434739;0,0245950138526929;-0,00348637778265979;-0,00643976281021924;0,00311984252934595;-0,00711602664106644;-0,0177499222149457;-0,0145169587576091;20
"2010-10-29";-0,0179417679379559;0,00938580267586317;0,0178988356577489;0,0098204153751692;-0,0209942585839603;-0,00341399025653268;0,00316742554954686;-0,00133295167985452;0,000689135762230683;-0,00419109913932796;0,00218347952681585;-0,00589329154769984;0,00954576608133596;0,0292511783495495;0,00132984255520305;-0,000367153738064843;0,00148580652674001;-0,0064033333968679;-0,011941528561097;-0,0122783132188423;20
"2010-11-30";-0,0178659638017333;0,0174118024932081;0,0182852817224634;0,00956203706523066;-0,0239577484150939;-0,00233690373137608;0,00184613566631369;0,00110784256379959;0,0041078309782049;-0,00853824112790653;0,00282446337204549;-0,00999254549278527;0,00530228045529892;0,0319859175574036;-0,00195467101021229;0,00411840164973222;0,00346323468255933;-0,00734325980304932;-0,0174989061058314;-0,0105269887182719;20
"2010-12-30";-0,0182528458846342;0,0270718762672045;0,00392938084584505;-0,00147538693416499;-0,0208416289880386;-0,0104137089221106;-0,00698259451583008;0,0115673499444828;0,0289705934364892;-0,00882166292505808;0,00534838328655427;-0,009826726089491;0,00249389338352061;0,0191497810144977;-0,00418742975778975;0,000919968600655044;0,00612499536047776;-0,00806396541405473;-0,0131598270046239;-0,00355044570393106;20
"2011-01-31";-0,0193642731250325;0,0178201403811185;0,00279891872877442;0,00196310844242461;-0,0204906528607242;-0,000387764111779512;-0,0165317096159726;-0,000520040058570484;0,0291971792298165;-0,0138456210500063;0,00852037826145124;-0,00490457107247831;0,00751920049091443;0,0156009045613762;-0,0039990470882756;0,0066283146734345;0,00568366370219464;-0,0058879588164023;-0,00699542525226139;-0,00280474542000184;20
"2011-02-28";-0,00272923917647854;0,0259150846908058;-0,00218234475768337;-0,00295260218308943;-0,0128350230630669;-0,00615804994823956;-0,0228077157329492;0,00349753244307562;0,0325319286579963;-0,0141031570047465;0,0125992780105038;-0,00492899284064915;0,0011992521200942;0,00256196651709765;-0,00829272709114825;0,00478455925261802;0,00276004072266483;-0,000173551521975107;-0,0075916535666924;-0,0010945855281379;20
"2011-03-31";-0,0064820470995551;0,0205281874973114;-0,00833787167186214;-0,00538996830691308;-0,0109382966460858;-0,0101492152377814;-0,0226141637723026;0,00671077477370111;0,0342949589472641;-0,0149559746958967;0,020886666897846;-0,00416187760479178;-0,00456088855372435;0,00865028825839214;-0,0143671575099335;2,66008073936341e-05;0,0128719310585903;-0,00694506003381953;-0,00213196841700617;0,00706508130917351;20
"2011-04-29";-0,00458598865811822;0,0212604840121189;-0,00968397279400383;-0,003941512223549;-0,0067536722465473;-0,00678095119273297;-0,0165489896263805;-0,003923521877652;0,0291382232159561;-0,00759299860601439;0,00971021947935752;-0,000179780184673158;-0,00610553515509648;0,000632958853194203;-0,0138575280573254;-0,00140749479418777;0,0162077834788763;-0,00562530518204283;-0,000468816072806118;0,010506397631627;20
"2011-05-31";-0,00510329650260143;0,0251386144068632;-0,0121113102619282;0,000671070688677461;-0,00710835357429706;-0,011709547963953;-0,0162373504570552;-0,00167642783163179;0,0265145253910794;-0,0117581765725527;0,00915523118071112;-0,00204853096359346;-0,00442150796162729;0,0065384723889247;-0,0128085497046436;0,00333633080606371;0,00862646638106592;-0,00327795776000576;0,00283422236580876;0,00544607594469511;20
"2011-06-30";-0,000763430134578282;0,0174326016416824;-0,0104292786218095;-0,00402330860190015;-0,010227033271907;-0,00568045971476576;-0,013522740540582;-0,00672272338549919;0,0376962016715494;-0,0103228877476502;0,000883908114420694;0,00502612548425412;-0,00712953988478887;-0,00363092273433409;-0,00911294151836065;0,00199935201977743;0,0140389109806662;-0,00488126677735176;0,00180566749044248;0,0075637655307348;20
