GAZP RX Equity;;;ROSN RX Equity;;;LKOH RX Equity;;;GMKN RX Equity;;;SBER RX Equity;;;SNGS RX Equity;;;MGNT RX Equity;;;VTBR RX Equity;;;TATN RX Equity;;;CHMF RX Equity;;;MTSS RX Equity;;;URKA RX Equity;;;NLMK RX Equity;;;HYDR RX Equity;;;FEES RX Equity;;;PIKK RX Equity;;;AFLT RX Equity;;;PHST RX Equity;;;NVTK RX Equity;;;SIBN RX Equity;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
29.05.2009;178.37;;30.11.2009;234.12;;29.05.2009;1641.09;;30.04.2010;5642.59;;29.05.2009;44.21;;29.05.2009;25.518;;30.11.2009;1805;;30.09.2010;0.08781;;29.05.2009;143.64;;29.05.2009;155.81;;29.05.2009;176.28;;31.03.2011;235.13;;31.08.2009;74.37;;30.09.2011;1.0505;;30.11.2011;0.34585;;29.10.2010;115.91;;29.05.2009;35.14;;30.12.2010;3033;;30.06.2009;128.01;;29.05.2009;105.57
30.06.2009;156.05;;31.12.2009;251.98;;30.06.2009;1379.48;;31.05.2010;5018.63;;30.06.2009;38.08;;30.06.2009;21.35;;31.12.2009;2161.96;;29.10.2010;0.10131;;30.06.2009;126.06;;30.06.2009;147.88;;30.06.2009;161.68;;29.04.2011;228.47;;30.09.2009;76.27;;31.10.2011;1.1425;;30.12.2011;0.28181;;30.11.2010;117.29;;30.06.2009;33.77;;31.01.2011;3051.12;;31.07.2009;121.7;;30.06.2009;98.18
31.07.2009;162.29;;29.01.2010;236.02;;31.07.2009;1571.49;;30.06.2010;4527.22;;31.07.2009;42.46;;31.07.2009;24.347;;29.01.2010;2067;;30.11.2010;0.10019;;31.07.2009;127.58;;31.07.2009;191.67;;31.07.2009;176.88;;31.05.2011;243.94;;30.10.2009;76.04;;30.11.2011;1.1995;;31.01.2012;0.3162;;30.12.2010;122.79;;31.07.2009;31.42;;28.02.2011;2934.77;;31.08.2009;118.77;;31.07.2009;108.42
31.08.2009;163.08;;27.02.2010;231.09;;31.08.2009;1580.27;;30.07.2010;4976.41;;31.08.2009;47.43;;31.08.2009;26.049;;27.02.2010;1920.07;;30.12.2010;0.1008;;31.08.2009;125.94;;31.08.2009;201.71;;31.08.2009;181.93;;30.06.2011;250.45;;30.11.2009;87.55;;30.12.2011;0.9694;;29.02.2012;0.34503;;31.01.2011;125.19;;31.08.2009;32.32;;31.03.2011;2782.4;;30.09.2009;127.43;;31.08.2009;114.59
30.09.2009;175.13;;31.03.2010;234.08;;30.09.2009;1631.34;;31.08.2010;5192.92;;30.09.2009;59.88;;30.09.2009;25.666;;31.03.2010;2569.82;;31.01.2011;0.107;;30.09.2009;125.7;;30.09.2009;210.81;;30.09.2009;202.79;;29.07.2011;270.57;;31.12.2009;91.89;;31.01.2012;1.1499;;30.03.2012;0.31388;;28.02.2011;144.54;;30.09.2009;45.42;;29.04.2011;2390.3;;30.10.2009;134.78;;30.09.2009;125.98
30.10.2009;175.8;;30.04.2010;237.34;;30.10.2009;1702.2;;30.09.2010;5197.26;;30.10.2009;64.76;;30.10.2009;25.624;;30.04.2010;2560;;28.02.2011;0.1012;;30.10.2009;125.71;;30.10.2009;191.9;;30.10.2009;202.28;;31.08.2011;285.43;;29.01.2010;94.45;;29.02.2012;1.1865;;28.04.2012;0.26824;;31.03.2011;126.56;;30.10.2009;39.94;;31.05.2011;2250.4;;30.11.2009;159.69;;30.10.2009;149.06
30.11.2009;165.94;;31.05.2010;228.57;;30.11.2009;1688.32;;29.10.2010;5583.65;;30.11.2009;69.17;;30.11.2009;25.944;;31.05.2010;2720.02;;31.03.2011;0.09887;;30.11.2009;139.59;;30.11.2009;199.8;;30.11.2009;219.34;;30.09.2011;222.45;;27.02.2010;92.28;;30.03.2012;1.0801;;31.05.2012;0.17191;;29.04.2011;116.35;;30.11.2009;43.7;;30.06.2011;2110.8;;31.12.2009;170.1;;30.11.2009;153.45
31.12.2009;183.21;;30.06.2010;192.79;;31.12.2009;1695.47;;30.11.2010;6067.96;;31.12.2009;83.14;;31.12.2009;26.828;;30.06.2010;2544.11;;29.04.2011;0.08867;;31.12.2009;139.69;;31.12.2009;226.98;;31.12.2009;221.67;;31.10.2011;268.87;;31.03.2010;101.25;;28.04.2012;1.0396;;29.06.2012;0.19574;;31.05.2011;112.24;;31.12.2009;52.82;;29.07.2011;2415;;29.01.2010;185.04;;31.12.2009;163.64
29.01.2010;186.18;;30.07.2010;203.1;;29.01.2010;1684.63;;30.12.2010;7169.42;;29.01.2010;88.45;;29.01.2010;25.669;;30.07.2010;2970.23;;31.05.2011;0.08664;;29.01.2010;142.86;;29.01.2010;315.18;;29.01.2010;233.78;;30.11.2011;247.32;;30.04.2010;106.49;;31.05.2012;0.7993;;31.07.2012;0.22733;;30.06.2011;107.45;;29.01.2010;56.14;;31.08.2011;2090;;27.02.2010;167.73;;29.01.2010;151.73
27.02.2010;167.57;;31.08.2010;195.88;;27.02.2010;1575.22;;31.01.2011;7484.03;;27.02.2010;76.29;;27.02.2010;24.427;;31.08.2010;2999.79;;30.06.2011;0.08611;;27.02.2010;140.95;;27.02.2010;306.71;;27.02.2010;235.13;;30.12.2011;233.51;;31.05.2010;93.4;;29.06.2012;0.7891;;31.08.2012;0.20006;;29.07.2011;107.74;;27.02.2010;55.4;;30.09.2011;2150;;31.03.2010;193.09;;27.02.2010;139.58
